['Charon-Melt Start', 'Charon-Melt Middle', 'Charon-Melt Final', 'Charon-Melt Spread']
[0.9000000357627869, 1.33858060836792, 1.085790991783142, 1.2706083059310913]
[0.0, 0.0, 0.0, 0.0]
[0.0006, 0.0, 0.0, 0.0]
[0.0024, 0.0, 0.0, 0.0]
[0.0055, 0.0, 0.0, 0.0]
[0.0098, 0.0, 0.0, 0.0]
[0.0154, 0.0, 0.0, 0.0]
[0.0222, 0.0, 0.0, 0.0]
[0.0302, 0.0, 0.0, 0.0]
[0.0395, 0.0, 0.0, 0.0]
[0.05, 0.0, 0.0, 0.0]
[0.0618, 0.0, 0.0, 0.0]
[0.0747, 0.0, 0.0, 0.0]
[0.0889, 0.0, 0.0, 0.0]
[0.1042, 0.0, 0.0, 0.0]
[0.1207, 0.0, 0.0, 0.0]
[0.1383, 0.0, 0.0, 0.0]
[0.157, 0.0, 0.0, 0.0]
[0.1767, 0.0, 0.0, 0.0]
[0.1974, 0.0, 0.0, 0.0]
[0.2191, 0.0, 0.0, 0.0]
[0.2416, 0.0, 0.0, 0.0]
[0.2649, 0.0, 0.0, 0.0]
[0.2891, 0.0, 0.0, 0.0]
[0.3139, 0.0, 0.0, 0.0]
[0.3393, 0.0, 0.0, 0.0]
[0.3653, 0.0, 0.0, 0.0]
[0.3917, 0.0, 0.0, 0.0]
[0.4184, 0.0, 0.0, 0.0]
[0.4455, 0.0, 0.0, 0.0]
[0.4727, 0.0, 0.0, 0.0]
[0.5, 0.0, 0.0, 0.0]
[0.5274, 0.0, 0.0, 0.0]
[0.5546, 0.0, 0.0, 0.0]
[0.5816, 0.0, 0.0, 0.0]
[0.6084, 0.0, 0.0, 0.0]
[0.6348, 0.0, 0.0, 0.0]
[0.6608, 0.0, 0.0, 0.0]
[0.6862, 0.0, 0.0, 0.0]
[0.711, 0.0, 0.0, 0.0]
[0.7351, 0.0, 0.0, 0.0]
[0.7585, 0.0, 0.0, 0.0]
[0.781, 0.0, 0.0, 0.0]
[0.8026, 0.0, 0.0, 0.0]
[0.8233, 0.0, 0.0, 0.0]
[0.8431, 0.0, 0.0, 0.0]
[0.8617, 0.0, 0.0, 0.0]
[0.8793, 0.0, 0.0, 0.0]
[0.8958, 0.0, 0.0, 0.0]
[0.9111, 0.0, 0.0, 0.0]
[0.9253, 0.0, 0.0, 0.0]
[0.9382, 0.0, 0.0, 0.0]
[0.95, 0.0, 0.0, 0.0]
[0.9605, 0.0, 0.0, 0.0]
[0.9698, 0.0, 0.0, 0.0]
[0.9778, 0.0, 0.0, 0.0]
[0.9846, 0.0, 0.0, 0.0]
[0.9902, 0.0, 0.0, 0.0]
[0.9945, 0.0, 0.0, 0.0]
[0.9976, 0.0, 0.0, 0.0]
[0.9994, 0.0, 0.0, 0.0]
[1.0, 0.0, 0.0, 0.0]
[0.9994, 0.0014, 0.0, 0.0]
[0.9974, 0.0056, 0.0, 0.0]
[0.9938, 0.0129, 0.0, 0.0]
[0.9887, 0.0234, 0.0, 0.0]
[0.9817, 0.0373, 0.0, 0.0]
[0.9728, 0.0546, 0.0, 0.0]
[0.9619, 0.0754, 0.0, 0.0]
[0.9489, 0.0996, 0.0, 0.0]
[0.9338, 0.127, 0.0, 0.0]
[0.9166, 0.1573, 0.0, 0.0]
[0.8976, 0.1902, 0.0, 0.0]
[0.8767, 0.2252, 0.0, 0.0]
[0.8542, 0.2619, 0.0, 0.0]
[0.8304, 0.2998, 0.0, 0.0]
[0.8054, 0.3384, 0.0, 0.0]
[0.7794, 0.3773, 0.0, 0.0]
[0.7528, 0.4162, 0.0, 0.0]
[0.7256, 0.4547, 0.0, 0.0]
[0.698, 0.4926, 0.0, 0.0]
[0.6703, 0.5298, 0.0, 0.0]
[0.6437, 0.5719, 0.0, 0.0]
[0.6166, 0.6243, 0.0, 0.0]
[0.5824, 0.6853, 0.0, 0.0]
[0.5352, 0.7518, 0.0, 0.0]
[0.4742, 0.8187, 0.0, 0.0]
[0.384, 0.8806, 0.0, 0.0]
[0.2564, 0.9322, 0.0, 0.0]
[0.1244, 0.9701, 0.0, 0.0]
[0.0314, 0.9927, 0.0, 0.0]
[0.0, 1.0, 0.0, 0.0]
[0.0, 1.0, 0.0104, 0.0]
[0.0, 1.0, 0.0423, 0.0]
[0.0, 1.0, 0.0955, 0.0]
[0.0, 1.0, 0.1676, 0.0]
[0.0, 1.0, 0.2536, 0.0]
[0.0, 1.0, 0.346, 0.0]
[0.0, 1.0, 0.4366, 0.0]
[0.0, 1.0, 0.5187, 0.0]
[0.0, 1.0, 0.5877, 0.0]
[0.0, 1.0, 0.6415, 0.0]
[0.0, 0.9945, 0.6872, 0.0]
[0.0, 0.9778, 0.7323, 0.0]
[0.0, 0.95, 0.7762, 0.0]
[0.0, 0.9111, 0.818, 0.0]
[0.0, 0.8617, 0.8569, 0.0]
[0.0, 0.8027, 0.892, 0.0]
[0.0, 0.7352, 0.9226, 0.0113]
[0.0, 0.6609, 0.948, 0.0455]
[0.0, 0.5818, 0.968, 0.1022]
[0.0, 0.5002, 0.9828, 0.1799]
[0.0, 0.4187, 0.9927, 0.2755]
[0.0, 0.3395, 0.9983, 0.3842]
[0.0, 0.2652, 1.0, 0.5]
[0.0, 0.1976, 0.9546, 0.6158]
[0.0, 0.1385, 0.8209, 0.7245]
[0.0, 0.089, 0.6174, 0.8201]
[0.0, 0.0501, 0.3864, 0.8978]
[0.0, 0.0222, 0.1815, 0.9545]
[0.0, 0.0055, 0.0461, 0.9887]
[0.0, 0.0, 0.0, 1.0]
